iter	Passed	Remaining
402	6040	8947
403	6049	8924
404	6060	8903
405	6079	8893
406	6091	8875
407	6103	8855
408	6112	8833
409	6124	8813
410	6136	8794
411	6149	8777
412	6159	8754
413	6172	8736
414	6183	8716
415	6193	8694
416	6207	8678
417	6221	8662
418	6235	8646
419	6249	8630
420	6268	8620
421	6281	8603
422	6293	8584
423	6304	8565
424	6316	8546
425	6330	8529
426	6341	8509
427	6354	8492
428	6366	8473
429	6377	8453
430	6387	8433
431	6405	8422
432	6417	8403
433	6428	8383
434	6439	8364
435	6451	8345
436	6465	8329
437	6478	8312
438	6495	8300
439	6509	8284
440	6520	8265
441	6535	8250
442	6549	8234
443	6562	8218
444	6576	8202
445	6589	8185
446	6601	8167
447	6614	8150
448	6624	8129
449	6634	8109
450	6647	8091
451	6659	8074
452	6669	8053
453	6681	8035
454	6693	8017
455	6705	7999
456	6716	7980
457	6731	7966
458	6743	7948
459	6755	7930
460	6764	7908
461	6775	7890
462	6789	7874
463	6801	7856
464	6813	7839
465	6826	7823
466	6838	7805
467	6849	7785
468	6858	7765
469	6870	7747
470	6880	7727
471	6892	7710
472	6904	7692
473	6915	7674
474	6925	7654
475	6939	7639
476	6951	7622
477	6961	7602
478	6972	7583
479	6987	7569
480	7002	7555
481	7013	7537
482	7023	7517
483	7036	7501
484	7054	7491
485	7065	7472
486	7075	7453
487	7087	7435
488	7098	7417
489	7112	7403
490	7123	7384
491	7135	7367
492	7145	7348
493	7155	7329
494	7167	7312
495	7178	7294
496	7188	7275
497	7200	7258
498	7211	7240
499	7221	7221
500	7234	7205
501	7245	7187
502	7255	7168
503	7266	7151
504	7279	7135
505	7299	7126
506	7319	7117
507	7334	7103
508	7349	7089
509	7364	7075
510	7385	7067
511	7397	7050
512	7408	7032
513	7423	7019
514	7435	7002
515	7447	6986
516	7459	6968
517	7469	6950
518	7481	6933
519	7493	6916
520	7505	6900
521	7515	6882
522	7527	6865
523	7539	6848
524	7550	6831
525	7562	6815
526	7578	6802
527	7592	6787
528	7607	6773
529	7629	6765
530	7645	6752
531	7663	6741
532	7676	6725
533	7687	6708
534	7702	6694
535	7712	6676
536	7724	6660
537	7735	6643
538	7745	6624
539	7757	6607
540	7769	6591
541	7780	6574
542	7793	6558
543	7808	6545
544	7821	6529
545	7832	6512
546	7842	6494
547	7854	6478
548	7866	6462
549	7876	6444
550	7887	6427
551	7899	6411
552	7912	6395
553	7922	6378
554	7935	6362
555	7946	6345
556	7956	6327
557	7969	6312
558	7983	6298
559	7994	6281
560	8004	6263
561	8016	6247
562	8032	6234
563	8043	6217
564	8054	6201
565	8066	6185
566	8076	6167
567	8090	6153
568	8102	6137
569	8115	6121
570	8126	6105
571	8136	6087
572	8148	6072
573	8160	6056
574	8169	6038
575	8181	6022
576	8193	6006
577	8202	5989
578	8215	5973
579	8227	5957
580	8237	5940
581	8249	5924
582	8261	5909
583	8273	5893
584	8284	5877
585	8299	5863
586	8312	5848
587	8324	5832
588	8334	5815
589	8346	5800
590	8359	5784
591	8370	5769
592	8388	5757
593	8399	5741
594	8420	5731
595	8437	5719
596	8448	5703
597	8463	5689
598	8478	5675
599	8489	5659
600	8501	5644
601	8511	5627
602	8523	5611
603	8535	5595
604	8545	5579
605	8559	5565
606	8572	5550
607	8582	5533
608	8592	5516
609	8605	5501
610	8617	5486
611	8627	5469
612	8638	5453
613	8652	5439
614	8669	5427
615	8693	5419
616	8708	5405
617	8722	5391
618	8738	5378
619	8753	5364
620	8763	5348
621	8775	5332
622	8792	5320
623	8804	5304
624	8815	5289
625	8824	5272
626	8837	5257
627	8848	5241
628	8856	5224
629	8869	5208
630	8881	5193
631	8896	5180
632	8906	5163
633	8918	5148
634	8931	5133
635	8945	5119
636	8955	5103
637	8967	5088
638	8978	5072
639	8988	5055
640	9000	5040
641	9018	5029
642	9031	5014
643	9042	4998
644	9052	4982
645	9066	4968
646	9077	4952
647	9087	4936
648	9099	4921
649	9111	4906
650	9121	4889
651	9134	4875
652	9146	4860
653	9157	4844
654	9167	4828
655	9180	4814
656	9191	4798
657	9201	4782
658	9212	4767
659	9224	4751
660	9233	4735
661	9246	4720
662	9259	4706
663	9273	4692
664	9283	4676
665	9294	4661
666	9306	4646
667	9317	4630
668	9332	4617
669	9342	4601
670	9354	4586
671	9369	4573
672	9381	4558
673	9393	4543
674	9406	4528
675	9418	4514
676	9429	4498
677	9441	4484
678	9453	4469
679	9466	4454
680	9481	4441
681	9494	4426
682	9509	4413
683	9525	4400
684	9537	4385
685	9551	4372
686	9566	4358
687	9577	4343
688	9589	4328
689	9601	4313
690	9613	4299
691	9624	4283
692	9636	4269
693	9654	4256
694	9666	4242
695	9679	4227
696	9691	4212
697	9703	4198
698	9717	4184
699	9730	4170
700	9743	4155
701	9757	4142
702	9777	4130
703	9791	4116
704	9804	4102
705	9816	4088
706	9830	4073
707	9845	4060
708	9858	4046
709	9870	4031
710	9882	4016
711	9894	4002
712	9908	3988
713	9920	3973
714	9930	3958
715	9942	3943
716	9953	3928
717	9965	3913
718	9981	3900
719	9994	3886
720	10006	3871
721	10017	3857
722	10028	3842
723	10043	3828
724	10055	3814
725	10067	3799
726	10077	3784
727	10089	3769
728	10100	3754
729	10110	3739
730	10121	3724
731	10132	3709
732	10142	3694
733	10154	3679
734	10164	3664
735	10174	3649
736	10187	3635
737	10198	3620
738	10208	3605
739	10220	3591
740	10230	3576
741	10241	3560
742	10253	3546
743	10264	3531
744	10276	3517
745	10290	3503
746	10309	3491
747	10320	3476
748	10331	3462
749	10348	3449
750	10361	3435
751	10373	3420
752	10385	3406
753	10397	3392
754	10408	3377
755	10421	3363
756	10434	3349
757	10448	3335
758	10460	3321
759	10481	3309
760	10492	3295
761	10509	3282
762	10522	3268
763	10548	3258
764	10569	3246
765	10593	3236
766	10611	3223
767	10634	3212
768	10658	3201
769	10673	3188
770	10685	3173
771	10698	3159
772	10711	3145
773	10725	3131
774	10740	3118
775	10754	3104
776	10818	3104
777	10871	3102
778	10920	3098
779	10987	3098
780	11044	3096
781	11073	3086
782	11100	3076
783	11118	3063
784	11139	3050
785	11172	3041
786	11199	3031
787	11216	3017
788	11252	3009
789	11272	2996
790	11294	2984
791	11309	2970
792	11323	2955
793	11341	2942
794	11358	2928
795	11372	2914
796	11390	2901
797	11406	2887
798	11425	2874
799	11443	2860
800	11463	2847
801	11483	2835
802	11500	2821
803	11516	2807
804	11532	2793
805	11545	2778
806	11557	2763
