iter	Logloss
0	0.6774714352
1	0.6596585633
2	0.6437450155
3	0.6279584955
4	0.6141724145
5	0.6019200158
6	0.5905974804
7	0.5803872588
8	0.5679952523
9	0.5583849695
10	0.5487480185
11	0.5400471217
12	0.5303009959
13	0.5230650451
14	0.5150371421
15	0.5098158079
16	0.5045567022
17	0.4990384232
18	0.4937641856
19	0.4892505883
20	0.4846378159
21	0.480322381
22	0.4762521993
23	0.4719303275
24	0.4678921226
25	0.4644249019
26	0.4611922806
27	0.4576937923
28	0.4551602057
29	0.4521023278
30	0.4491507369
31	0.4465114383
32	0.4438338832
33	0.4414050469
34	0.4385587587
35	0.4356363682
36	0.4335515452
37	0.4308057394
38	0.4287289044
39	0.4271643545
40	0.4249642513
41	0.4231873295
42	0.4215352559
43	0.4198264913
44	0.4180646239
45	0.4160892837
46	0.4146457819
47	0.4128917633
48	0.4116545816
49	0.4100961268
50	0.4083895295
51	0.4067827268
52	0.4057558379
53	0.404653134
54	0.4026755018
55	0.4016538594
56	0.4000003032
57	0.3988833106
58	0.3979830322
59	0.3968968888
60	0.3958532594
61	0.3947392611
62	0.3936331092
63	0.3923829029
64	0.391033579
65	0.3902889451
66	0.3892814565
67	0.3881723351
68	0.3873142674
69	0.3864188476
70	0.3853484155
71	0.3843745545
72	0.3832689446
73	0.3820461132
74	0.3813785394
75	0.3804916595
76	0.3795682034
77	0.3787204489
78	0.3780166051
79	0.3772757217
80	0.3764689514
81	0.3758623329
82	0.375166503
83	0.3746789612
84	0.3740000543
85	0.3734102753
86	0.3726073041
87	0.3720846313
88	0.3716154063
89	0.3710087156
90	0.3705731742
91	0.3698972702
92	0.3692671151
93	0.3684281317
94	0.3678547196
95	0.3674277231
96	0.3668738252
97	0.366195035
98	0.3654067199
99	0.3645754755
100	0.3639176139
101	0.3634558002
102	0.3630678022
103	0.3625436937
104	0.3618289744
105	0.3614008216
106	0.3609157524
107	0.3602385709
108	0.3598358317
109	0.3590941712
110	0.3586784334
111	0.3580531618
112	0.35716659
113	0.3565647183
114	0.3561866953
115	0.3555327632
116	0.3548588529
117	0.3545574698
118	0.3541521585
119	0.353536852
120	0.3528488532
121	0.3520306998
122	0.3515049204
123	0.3510739284
124	0.3507081992
125	0.3505200356
126	0.3500179128
127	0.3496218135
128	0.349376964
129	0.3488360411
130	0.348058004
131	0.3474902478
132	0.347032531
133	0.3467018602
134	0.3464323865
135	0.3459035651
136	0.3456650015
137	0.3454446488
138	0.3451515847
139	0.3447161647
140	0.3443785342
141	0.3438971818
142	0.3437235222
143	0.3432594929
144	0.3428278583
145	0.3425472355
146	0.342097872
147	0.3417926586
148	0.3415570117
149	0.3409306358
150	0.340564812
151	0.3405343681
152	0.3401672419
153	0.3398955662
154	0.3395710021
155	0.339290062
156	0.3391013794
157	0.3388371576
158	0.3382748892
159	0.3379723827
160	0.3376152514
161	0.3372060851
162	0.3368681378
163	0.3364856432
164	0.3359943602
165	0.3357594837
166	0.3355256801
167	0.3353196368
168	0.3349776169
169	0.3346516343
170	0.3342370724
171	0.3339224785
172	0.3333937096
173	0.3330192457
174	0.3326879872
175	0.3322180426
176	0.3317949359
177	0.3315591732
178	0.3314031077
179	0.3308949383
180	0.3306545502
181	0.3304643895
182	0.3302031432
183	0.3298009584
184	0.3294552261
185	0.3288827462
186	0.3284776615
187	0.3282749424
188	0.3278468767
189	0.3276590976
190	0.3273116979
191	0.3270046369
192	0.326574401
193	0.3263887603
194	0.3261700394
195	0.3258363831
196	0.3257442151
197	0.3252230327
198	0.3248479668
199	0.3246425584
200	0.3244747636
201	0.3243406191
202	0.3242062174
203	0.3238091161
204	0.3236419059
205	0.3234675631
206	0.3232123258
207	0.3230216972
208	0.3227279564
209	0.3223733744
210	0.3221673026
211	0.3219268347
212	0.3214861942
213	0.3213422236
214	0.3209698567
215	0.320839822
216	0.3205296758
217	0.3203933842
218	0.320239515
219	0.3198485782
220	0.319527057
221	0.3194074502
222	0.3193117509
223	0.3192171288
224	0.3189559974
225	0.3186337715
226	0.3183893862
227	0.3180786505
228	0.3178554876
229	0.3176950138
230	0.3174083446
231	0.3171150065
232	0.3168240667
233	0.3165659487
234	0.3163558386
235	0.3161964444
236	0.3159376313
237	0.3157823583
238	0.3153147976
239	0.3152008715
240	0.3149953825
241	0.3148433702
242	0.3146288328
243	0.3144323641
244	0.3141593291
245	0.3138604892
246	0.313517654
247	0.313450634
248	0.3133106299
249	0.3129342474
250	0.3127236291
251	0.3125599588
252	0.3122149022
253	0.3119813329
254	0.3117550158
255	0.3116903264
256	0.3116102031
257	0.3111896716
258	0.3110192732
259	0.31080657
260	0.3106756766
261	0.310462053
262	0.3103170905
263	0.3101201544
264	0.3099632682
265	0.3097706486
266	0.3095237793
267	0.309262051
268	0.3090044811
269	0.3087299737
270	0.3085727451
271	0.3084616788
272	0.3082922918
273	0.3081515358
274	0.3079727508
275	0.3078051029
276	0.3076614301
277	0.3075405058
278	0.3073889064
279	0.3071866442
280	0.3069260738
281	0.3066820369
282	0.3065849591
283	0.3064414365
284	0.3063732609
285	0.3061878878
286	0.3060011314
287	0.30592242
288	0.3057366063
289	0.3055847
290	0.3053434172
291	0.3052523686
292	0.3051708856
293	0.305020083
294	0.3048691685
295	0.3047987882
296	0.3047132468
297	0.304661684
298	0.3045900896
299	0.3044378381
300	0.3041976882
301	0.3040151831
302	0.3037911878
303	0.3036490756
304	0.3033277792
305	0.3031756879
306	0.302925056
307	0.3027983431
308	0.302554354
309	0.3024080128
310	0.3022381584
311	0.3019466466
312	0.301679284
313	0.3015660586
314	0.3015079415
315	0.3014448305
316	0.3013011499
317	0.3010307795
318	0.3009404621
319	0.3007576827
320	0.3005713215
321	0.3004228047
322	0.300230123
323	0.3000702699
324	0.2999194215
325	0.2998940685
326	0.2997188903
327	0.29954592
328	0.2993174009
329	0.2990103629
330	0.2986785273
331	0.298527073
332	0.2982232425
333	0.2979406949
334	0.2978156443
335	0.2976337534
336	0.2975126135
